data_source,family_id,individual_id,latitude1,longitude1,city1,country1,latitude2,longitude2,city2,country2
Kopelman2020_240_otherJ,0,pop_11911_2,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11911_17,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11911_1577,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11911_1594,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11911_1607,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11911_1654,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11911_1671,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11911_1883,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11911_1961,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11911_1963,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11911_1965,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11911_1970,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11911_1971,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11911_1972,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11911_1973,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
Kopelman2020_240_otherJ,0,pop_11911_1975,41.725,44.7908,Tbilisi,Georgia(country),NA,NA,NA,NA
