Dataset,family_id,individual_id,lat1_obs,long1_obs,city1_obs,country1_obs,lat2_obs,long2_obs,city2_obs,country2_obs,#,Northeast Asian,Mediterranean,Southern African,Southwest Asian,Native American,Oceanian,Southeast Asia,Northern European,Subsaharan African,ClosestPop_prd,Lat_pred,Long_pred
Kopelman2020_239otherJ,0,pop_11907_5278,42.6833,23.3167,Sofia,Bulgaria,,,,,127,"0,016962","0,546938","0,004275","0,234992","0,008166","0,003173","0,022877","0,138105","0,024512",Turk_2,"37,8705","38,5338"
Kopelman2020_239otherJ,0,pop_11907_5279,42.6833,23.3167,Sofia,Bulgaria,,,,,128,"0,013794","0,553237","0,006659","0,22855","0,008924","0,01388","0,010154","0,133139","0,031663",Palestinian_2,"36,2561","38,7428"
Kopelman2020_239otherJ,0,pop_11907_5283,42.6833,23.3167,Sofia,Bulgaria,,,,,129,"0,014776","0,533913","0,002347","0,244833","0,01729","0,000329","0,011104","0,14853","0,026877",Turk_2,"38,664","38,2862"
Kopelman2020_239otherJ,0,pop_11907_5284,42.6833,23.3167,Sofia,Bulgaria,,,,,130,"0,024382","0,540493",1E-05,"0,232436","0,015495","0,008305","0,015496","0,133032","0,030351",Turk_2,"37,6581","38,8248"
Kopelman2020_239otherJ,0,pop_11907_5285,42.6833,23.3167,Sofia,Bulgaria,,,,,131,"0,009659","0,552649","0,01737","0,228623","0,017337",1E-05,"0,017138","0,134107","0,023107",Palestinian_2,"36,6127","39,0593"
Kopelman2020_239otherJ,0,pop_11907_5286,42.6833,23.3167,Sofia,Bulgaria,,,,,132,"0,00339","0,563192","0,004535","0,260116","0,002794",1E-05,"0,017243","0,119233","0,029488",Armenians_2,"37,4708","40,8379"
Kopelman2020_239otherJ,0,pop_11907_5298,42.6833,23.3167,Sofia,Bulgaria,,,,,133,"0,015307","0,556303","0,006888","0,242657","0,005774","0,008001","0,015118","0,109489","0,040463",Palestinian_2,"35,3061","38,1193"
Kopelman2020_239otherJ,0,pop_11907_5299,42.6833,23.3167,Sofia,Bulgaria,,,,,134,"0,014431","0,54354",1E-05,"0,232934","0,010728","0,003591","0,022097","0,138498","0,03417",Turk_2,"37,4833","38,0713"
Kopelman2020_239otherJ,0,pop_11907_5302,42.6833,23.3167,Sofia,Bulgaria,,,,,135,"0,025953","0,562468",1E-05,"0,23571",1E-05,"0,003861","0,022734","0,116893","0,032361",Palestinian_2,"35,8782","38,5718"
Kopelman2020_239otherJ,0,pop_11907_5304,42.6833,23.3167,Sofia,Bulgaria,,,,,136,1E-05,"0,546871",1E-05,"0,238191","0,022389",1E-05,"0,012966","0,146015","0,033539",Palestinian_2,"37,7909","38,2174"
Kopelman_2020_148_AJ,0,pop_11908_1126,50.0833,14.4665,Prague,Czechia,,,,,137,"0,021145","0,525721","0,002633","0,236409","0,008288","0,002134","0,020831","0,153336","0,029505",Turk_2,"38,9647","37,2458"
Kopelman_2020_148_AJ,0,pop_11908_1229,50.0833,14.4665,Prague,Czechia,,,,,138,"0,008505","0,512538","0,005474","0,24476","0,010301","0,011675","0,021388","0,167307","0,018051",Turk_2,"41,1142","36,9849"
Kopelman_2020_148_AJ,0,pop_11908_1390,50.0833,14.4665,Prague,Czechia,,,,,139,"0,025347","0,517792","0,009781","0,252697",1E-05,1E-05,"0,027363","0,153187","0,013811",Turk_2,"40,4225","38,7144"
Kopelman_2020_148_AJ,0,pop_11908_1642,50.0833,14.4665,Prague,Czechia,,,,,140,"0,014071","0,511939","0,010823","0,234015","0,023843","0,004225","0,02664","0,157","0,017444",Turk_2,"40,7746","37,3527"
Kopelman_2020_148_AJ,0,pop_11908_4151,50.0833,14.4665,Prague,Czechia,,,,,141,"0,025122","0,510374","0,000273","0,240112","0,005259","0,013159","0,018876","0,16183","0,024995",Turk_2,"40,8712","37,3143"
Kopelman_2020_148_AJ,0,pop_11908_4643,50.0833,14.4665,Prague,Czechia,,,,,142,"0,022967","0,530954","0,00501","0,236211","0,006305","0,013239","0,02261","0,147105","0,015599",Turk_2,"39,3388","38,3063"
Kopelman_2020_148_AJ,0,pop_11908_5667,50.0833,14.4665,Prague,Czechia,,,,,143,"0,021682","0,555816",1E-05,"0,294548","0,002556","0,001293","0,014085","0,09227","0,01774",Armenians_2,"39,8445","44,4184"
Kopelman_2020_148_AJ,0,pop_11908_5865,50.0833,14.4665,Prague,Czechia,,,,,144,"0,010237","0,526761","0,00033","0,227788","0,012981","0,027299","0,014663","0,159438","0,020502",Turk_2,"39,2785","36,368"
Kopelman_2020_148_AJ,0,pop_11908_6259,50.0833,14.4665,Prague,Czechia,,,,,145,"0,016116","0,525065","0,004886","0,228068","0,013924","0,001585","0,030923","0,150186","0,029247",Turk_2,"38,7123","36,9749"
Kopelman_2020_148_AJ,0,pop_11908_6530,50.0833,14.4665,Prague,Czechia,,,,,146,"0,019037","0,529025","0,007779","0,251801","0,023133","0,002114","0,013386","0,14201","0,011717",Turk_2,"39,9844","40,3362"
